train_loss,train_acc,val_loss,val_acc,learning_rate
0.9287125198432552,83.46,0.7046894898080522,93.16,0.0001
0.7139496246872046,93.19,0.6598756449997045,94.55,9.972609476841367e-05
0.6600835952155121,95.178,0.6413735037396668,94.81,9.890738003669029e-05
0.6263582675200899,96.428,0.6261958924068767,95.18,9.755282581475769e-05
0.601835037664989,97.33,0.6221754550933838,95.42,9.567727288213003e-05
0.5841309936607585,97.998,0.6189396411749968,95.38,9.330127018922194e-05
0.5707810540943195,98.36,0.613847511968795,95.56,9.045084971874738e-05
0.5616308022338106,98.652,0.6126563400979255,95.69,8.715724127386972e-05
0.5546550232431163,98.904,0.6218182501519561,95.15,8.345653031794292e-05
0.5462623481707805,99.144,0.6082301325858779,95.69,7.938926261462366e-05
0.541145942628841,99.272,0.611200361115158,95.48,7.500000000000001e-05
0.5359188499658004,99.422,0.6045593061264912,95.93,7.033683215379003e-05
0.5304045527792343,99.624,0.6102967820349773,95.76,6.545084971874738e-05
0.5281137420850641,99.64,0.6005535866044889,96.19,6.039558454088797e-05
0.5262446642074439,99.686,0.6015175960625813,96.16,5.522642316338269e-05
0.5240979119944755,99.754,0.5935662161013123,96.45,5.000000000000002e-05
0.5211979595139203,99.844,0.5933058383358512,96.32,4.4773576836617344e-05
0.5204406916485418,99.852,0.5954485231903708,96.31,3.9604415459112035e-05
0.517944851875915,99.926,0.5908795803975148,96.48,3.4549150281252636e-05
0.5167773763846863,99.934,0.5929065509966225,96.43,2.966316784621e-05
0.5158491370165744,99.952,0.58898532314665,96.55,2.5000000000000015e-05
0.5149538976609555,99.96,0.5897170567208794,96.51,2.0610737385376352e-05
0.5142245152417351,99.966,0.5863898605298085,96.68,1.654346968205711e-05
0.5138009545748191,99.966,0.5875917080860988,96.61,1.2842758726130304e-05
0.5134070107089285,99.984,0.5871866751628317,96.62,9.549150281252636e-06
0.5130063856349272,99.982,0.5863251017916734,96.53,6.698729810778068e-06
0.5127309957123778,99.996,0.5855791572552578,96.68,4.322727117869953e-06
0.5126578954174695,99.992,0.5863441604717522,96.59,2.447174185242324e-06
