train_loss,train_acc,val_loss,val_acc,learning_rate
0.8742258832277849,85.502,0.6476892665692955,94.21,0.0001
0.6474806699149139,94.292,0.6139614460574594,95.56,9.972609476841367e-05
0.6047549607503749,96.212,0.5963358970204736,96.36,9.890738003669029e-05
0.583595828555734,97.008,0.5868340582604621,96.47,9.755282581475769e-05
0.5661664797979242,97.812,0.587001792944161,96.58,9.567727288213003e-05
0.5554738644596255,98.232,0.5848503526608655,96.77,9.330127018922194e-05
0.5453502177582372,98.628,0.5817070595777718,96.87,9.045084971874738e-05
0.540446149723609,98.762,0.5818739673893922,96.79,8.715724127386972e-05
0.534711592490106,99.004,0.5745270301581947,97.08,8.345653031794292e-05
0.5318035962788955,99.12,0.5763854877963946,97.12,7.938926261462366e-05
0.5276283306234023,99.254,0.5774171511838391,96.92,7.500000000000001e-05
0.5246904619666927,99.374,0.5735047550717737,97.08,7.033683215379003e-05
0.5237334734186188,99.404,0.5709372603209915,97.25,6.545084971874738e-05
0.5213487097216994,99.458,0.5714084790770415,97.27,6.039558454088797e-05
0.5190846319393734,99.56,0.570377544992289,97.29,5.522642316338269e-05
0.5173873609441626,99.622,0.5687184398341331,97.33,5.000000000000002e-05
0.5161776010642576,99.634,0.5669606422922414,97.45,4.4773576836617344e-05
0.513916139407536,99.768,0.5714660643771955,97.23,3.9604415459112035e-05
0.5133244236716834,99.758,0.5690001222738035,97.37,3.4549150281252636e-05
0.5130098029933012,99.748,0.5670059797870126,97.47,2.966316784621e-05
0.5122867456025175,99.766,0.5674504478266285,97.44,2.5000000000000015e-05
0.5114314333557168,99.782,0.5641795108272771,97.53,2.0610737385376352e-05
0.510801471407761,99.812,0.5656009365798561,97.51,1.654346968205711e-05
0.5104188419821317,99.828,0.5650469117863163,97.59,1.2842758726130304e-05
0.5103490032503367,99.802,0.5641168340755875,97.63,9.549150281252636e-06
0.5099380716795812,99.824,0.5625149425427625,97.6,6.698729810778068e-06
0.5097304241888968,99.858,0.5637811217338417,97.52,4.322727117869953e-06
0.5096448270408699,99.854,0.5636776814794844,97.58,2.447174185242324e-06
0.5096279781340333,99.848,0.5626946300457997,97.6,1.092619963309716e-06
0.5093133469371844,99.87,0.5633224340001489,97.59,2.7390523158633003e-07
